# P	count	tag	form
0.006173	2	PROPN	_
0.003086	1	_	_
0.006173	2	VERB	_
0.006173	2	SCONJ	_
0.006173	2	ADP	_
0.006173	2	NOUN	_
0.006173	2	CCONJ	_
0.006173	2	PUNCT	_
0.006173	2	ADJ	_
0.006173	2	NUM	_
0.006173	2	ADV	_
0.006173	2	PRON	_
0.003086	1	X	_
0.003086	1	PART	_
1.000000	4	PROPN	Єрусалим
1.000000	1	_	_
1.000000	4	VERB	є
1.000000	1	SCONJ	што
1.000000	3	ADP	до
1.000000	1	NOUN	розлогы
1.000000	9	CCONJ	і
1.000000	1	NOUN	чісла
1.000000	2	NOUN	жытелїв
1.000000	21	PUNCT	,
1.000000	1	ADJ	найвекшым
1.000000	1	NOUN	містом
1.000000	1	PROPN	Ізраіля
1.000000	2	SCONJ	де
1.000000	7	ADP	на
1.000000	1	NOUN	теріторії
1.000000	2	ADP	о
1.000000	1	NOUN	розлозї
1.000000	1	NUM	125
1.000000	1	NUM	,1
1.000000	1	NOUN	км2
1.000000	1	VERB	жыє
1.000000	1	ADV	цілком
1.000000	1	NUM	769
1.000000	1	NUM	400
1.000000	17	PUNCT	.
1.000000	1	PROPN	Ізраїль
1.000000	1	VERB	тримле
1.000000	3	ADP	за
1.000000	1	PRON	своє
1.000000	2	ADJ	головне
1.000000	2	NOUN	місто
1.000000	1	NOUN	векшына
1.000000	1	NOUN	штатів
1.000000	1	CCONJ	але
0.500000	1	ADV	як
0.500000	1	SCONJ	як
1.000000	1	VERB	признавать
1.000000	1	PROPN	Тел
1.000000	1	PROPN	Авів-Яффа
1.000000	5	VERB	ся
1.000000	1	VERB	находить
1.000000	6	ADP	в
1.000000	1	PROPN	Юдскых
1.000000	1	NOUN	горах
1.000000	1	NOUN	граніцї
1.000000	1	NOUN	басейну
1.000000	1	PROPN	Середоземного
1.000000	1	PROPN	Мертвого
1.000000	1	NOUN	моря
1.000000	1	NOUN	окраю
1.000000	1	PROPN	Юдской
1.000000	1	NOUN	пустынї
1.000000	1	ADJ	Сучасный
1.000000	1	VERB	розростать
1.000000	1	ADV	далеко
1.000000	1	NOUN	граніцями
1.000000	1	PROPN	Старого
1.000000	1	PROPN	Міста
1.000000	2	PROPN	Іван
1.000000	1	PROPN	Міклош
1.000000	1	ADJ	словеньскый
1.000000	1	NOUN	економ
1.000000	1	NOUN	політік
1.000000	1	ADJ	русиньского
1.000000	1	NOUN	походжіня
1.000000	2	PRON	котрый
1.000000	2	ADP	од
1.000000	3	NOUN	року
1.000000	1	NUM	2010
1.000000	1	NUM	2012
1.000000	1	VERB	занимал
1.000000	1	NOUN	функцію
